cont;experiment;percent
0;osc_b;6
0;osc_w;6
0;dec;9
0;dec_b;9
0;dec_w;9
0;con;9
0;con_b;9
0;con_w;9
0;inc;9
0;inc_b;9
0;inc_w;9
0;osc;9
1;osc_b;9
1;osc_w;9
1;dec;9
1;dec_b;9
1;dec_w;9
1;con;9
1;con_b;9
1;con_w;9
1;inc;9
1;inc_b;9
1;inc_w;9
1;osc;9
2;osc_b;9
2;osc_w;9
2;dec;9
2;dec_b;9
2;dec_w;9
2;con;9
2;con_b;9
2;con_w;9
2;inc;9
2;inc_b;9
2;inc_w;9
2;osc;9
3;osc_b;9
3;osc_w;9
3;dec;9
3;dec_b;9
3;dec_w;9
3;con;9
3;con_b;9
3;con_w;9
3;inc;9
3;inc_b;9
3;inc_w;9
3;osc;9
4;osc_b;9
4;osc_w;9
4;dec;9
4;dec_b;9
4;dec_w;9
4;con;9
4;con_b;9
4;con_w;9
4;inc;9
4;inc_b;9
4;inc_w;9
4;osc;9
5;osc_b;9
5;osc_w;9
5;dec;9
5;dec_b;9
5;dec_w;9
5;con;9
5;con_b;9
5;con_w;9
5;inc;9
5;inc_b;9
5;inc_w;9
5;osc;9
6;osc_b;9
6;osc_w;9
6;dec;9
6;dec_b;9
6;dec_w;9
6;con;9
6;con_b;9
6;con_w;9
6;inc;9
6;inc_b;9
6;inc_w;9
6;osc;9
7;osc_b;9
7;osc_w;9
7;dec;9
7;dec_b;9
7;dec_w;9
7;con;9
7;con_b;9
7;con_w;9
7;inc;9
7;inc_b;9
7;inc_w;9
7;osc;9
8;osc_b;9
8;osc_w;9
8;dec;9
8;dec_b;9
8;dec_w;9
8;con;9
8;con_b;9
8;con_w;9
8;inc;9
8;inc_b;9
8;inc_w;9
8;osc;9
9;osc_b;9
9;osc_w;9
9;dec;9
9;dec_b;9
9;dec_w;9
9;con;9
9;con_b;9
9;con_w;9
9;inc;9
9;inc_b;9
9;inc_w;9
9;osc;9
10;osc_b;9
10;osc_w;9
10;dec;9
10;dec_b;9
10;dec_w;9
10;con;9
10;con_b;9
10;con_w;9
10;inc;9
10;inc_b;9
10;inc_w;9
10;osc;9
11;osc_b;9
11;osc_w;9
11;dec;9
11;dec_b;9
11;dec_w;9
11;con;9
11;con_b;9
11;con_w;9
11;inc;9
11;inc_b;9
11;inc_w;9
11;osc;9
12;osc_b;9
12;osc_w;9
12;dec;9
12;dec_b;9
12;dec_w;9
12;con;9
12;con_b;9
12;con_w;9
12;inc;9
12;inc_b;9
12;inc_w;9
12;osc;9
13;osc_b;9
13;osc_w;9
13;dec;9
13;dec_b;9
13;dec_w;9
