cont;experiment;percent
0;osc_b;0
0;osc_w;0
0;dec;33
0;dec_b;33
0;dec_w;33
0;con;32
0;con_b;33
0;con_w;33
0;inc;0
0;inc_b;8
0;inc_w;5
0;osc;1
1;osc_b;5
1;osc_w;5
1;dec;33
1;dec_b;33
1;dec_w;33
1;con;32
1;con_b;33
1;con_w;33
1;inc;1
1;inc_b;7
1;inc_w;6
1;osc;4
2;osc_b;5
2;osc_w;5
2;dec;33
2;dec_b;33
2;dec_w;33
2;con;32
2;con_b;33
2;con_w;33
2;inc;1
2;inc_b;7
2;inc_w;6
2;osc;5
3;osc_b;5
3;osc_w;5
3;dec;33
3;dec_b;33
3;dec_w;33
3;con;32
3;con_b;33
3;con_w;33
3;inc;1
3;inc_b;7
3;inc_w;6
3;osc;5
4;osc_b;5
4;osc_w;5
4;dec;33
4;dec_b;33
4;dec_w;33
4;con;32
4;con_b;33
4;con_w;33
4;inc;1
4;inc_b;7
4;inc_w;6
4;osc;5
5;osc_b;5
5;osc_w;5
5;dec;33
5;dec_b;33
5;dec_w;33
5;con;32
5;con_b;33
5;con_w;33
5;inc;1
5;inc_b;10
5;inc_w;7
5;osc;5
6;osc_b;31
6;osc_w;5
6;dec;33
6;dec_b;33
6;dec_w;33
6;con;32
6;con_b;33
6;con_w;33
6;inc;1
6;inc_b;10
6;inc_w;7
6;osc;5
7;osc_b;31
7;osc_w;25
7;dec;33
7;dec_b;33
7;dec_w;33
7;con;32
7;con_b;33
7;con_w;33
7;inc;1
7;inc_b;10
7;inc_w;7
7;osc;5
8;osc_b;31
8;osc_w;25
8;dec;33
8;dec_b;33
8;dec_w;33
8;con;32
8;con_b;33
8;con_w;33
8;inc;1
8;inc_b;10
8;inc_w;7
8;osc;5
9;osc_b;31
9;osc_w;25
9;dec;33
9;dec_b;33
9;dec_w;33
9;con;32
9;con_b;33
9;con_w;33
9;inc;1
9;inc_b;12
9;inc_w;7
9;osc;5
10;osc_b;31
10;osc_w;25
10;dec;33
10;dec_b;33
10;dec_w;33
10;con;32
10;con_b;33
10;con_w;33
10;inc;2
10;inc_b;20
10;inc_w;11
10;osc;7
11;osc_b;31
11;osc_w;25
11;dec;33
11;dec_b;33
11;dec_w;33
11;con;32
11;con_b;33
11;con_w;33
11;inc;2
11;inc_b;20
11;inc_w;11
11;osc;7
12;osc_b;32
12;osc_w;25
12;dec;33
12;dec_b;33
12;dec_w;33
12;con;32
12;con_b;33
12;con_w;33
12;inc;2
12;inc_b;20
12;inc_w;11
12;osc;7
13;osc_b;32
13;osc_w;25
13;dec;33
13;dec_b;33
13;dec_w;33
13;con;32
13;con_b;33
13;con_w;33
13;inc;2
13;inc_b;20
13;inc_w;11
13;osc;7
14;osc_b;32
14;osc_w;25
14;dec;33
14;dec_b;33
14;dec_w;33
14;con;32
14;con_b;33
14;con_w;33
14;inc;2
14;inc_b;20
14;inc_w;11
14;osc;7
15;osc_b;35
15;osc_w;26
15;dec;33
15;dec_b;33
15;dec_w;33
15;con;32
15;con_b;33
15;con_w;33
15;inc;2
15;inc_b;20
15;inc_w;11
15;osc;7
16;osc_b;35
16;osc_w;26
16;dec;33
16;dec_b;33
16;dec_w;33
16;con;32
16;con_b;33
16;con_w;33
16;inc;3
16;inc_b;20
16;inc_w;11
16;osc;7
17;osc_b;35
17;osc_w;26
17;dec;33
17;dec_b;33
17;dec_w;33
17;con;32
17;con_b;33
17;con_w;33
17;inc;3
17;inc_b;20
17;inc_w;11
17;osc;6
18;osc_b;35
18;osc_w;26
18;dec;33
18;dec_b;33
18;dec_w;33
18;con;32
18;con_b;33
18;con_w;33
18;inc;3
18;inc_b;23
18;inc_w;11
18;osc;6
19;osc_b;35
19;osc_w;26
19;dec;33
19;dec_b;33
19;dec_w;33
19;con;32
19;con_b;33
19;con_w;33
19;inc;3
19;inc_b;23
19;inc_w;12
19;osc;6
20;osc_b;35
20;osc_w;26
20;dec;33
20;dec_b;33
20;dec_w;33
20;con;32
20;con_b;33
20;con_w;33
20;inc;3
20;inc_b;23
20;inc_w;12
20;osc;6
21;osc_b;35
21;osc_w;26
21;dec;33
21;dec_b;33
21;dec_w;33
21;con;32
21;con_b;33
21;con_w;33
21;inc;3
21;inc_b;23
21;inc_w;12
21;osc;6
22;osc_b;35
22;osc_w;26
22;dec;33
22;dec_b;33
22;dec_w;33
22;con;32
22;con_b;33
22;con_w;33
22;inc;3
22;inc_b;23
22;inc_w;12
22;osc;6
23;osc_b;35
23;osc_w;26
23;dec;33
23;dec_b;33
23;dec_w;33
23;con;32
23;con_b;33
23;con_w;33
23;inc;3
23;inc_b;23
23;inc_w;12
23;osc;6
24;osc_b;35
24;osc_w;26
24;dec;33
24;dec_b;33
24;dec_w;33
24;con;32
24;con_b;33
24;con_w;33
24;inc;3
24;inc_b;23
24;inc_w;12
24;osc;6
25;osc_b;35
25;osc_w;26
25;dec;33
25;dec_b;33
25;dec_w;33
25;con;32
25;con_b;33
25;con_w;33
25;inc;3
25;inc_b;23
25;inc_w;12
25;osc;6
26;osc_b;35
26;osc_w;26
26;dec;33
26;dec_b;33
26;dec_w;33
26;con;32
26;con_b;33
26;con_w;33
26;inc;4
26;inc_b;20
26;inc_w;16
26;osc;6
27;osc_b;35
27;osc_w;26
27;dec;33
27;dec_b;33
27;dec_w;33
27;con;32
27;con_b;33
27;con_w;33
27;inc;4
27;inc_b;20
27;inc_w;18
27;osc;6
28;osc_b;35
28;osc_w;26
28;dec;33
28;dec_b;33
28;dec_w;33
28;con;32
28;con_b;33
28;con_w;33
28;inc;4
28;inc_b;20
28;inc_w;18
28;osc;6
29;osc_b;35
29;osc_w;26
29;dec;33
29;dec_b;33
29;dec_w;33
29;con;32
29;con_b;33
29;con_w;33
29;inc;4
29;inc_b;20
29;inc_w;18
29;osc;6
30;osc_b;35
30;osc_w;26
30;dec;33
30;dec_b;33
30;dec_w;33
30;con;32
30;con_b;33
30;con_w;33
30;inc;4
30;inc_b;20
30;inc_w;18
30;osc;6
31;osc_b;35
31;osc_w;26
31;dec;33
31;dec_b;33
31;dec_w;33
31;con;32
31;con_b;33
31;con_w;33
31;inc;4
31;inc_b;20
31;inc_w;18
31;osc;6
32;osc_b;35
32;osc_w;26
32;dec;33
32;dec_b;33
32;dec_w;33
32;con;32
32;con_b;33
32;con_w;33
32;inc;4
32;inc_b;20
32;inc_w;18
32;osc;13
33;osc_b;35
33;osc_w;26
33;dec;33
33;dec_b;33
33;dec_w;33
33;con;32
33;con_b;33
33;con_w;33
33;inc;4
33;inc_b;20
33;inc_w;18
33;osc;17
34;osc_b;35
34;osc_w;26
34;dec;33
34;dec_b;33
34;dec_w;33
34;con;32
34;con_b;33
34;con_w;33
34;inc;4
34;inc_b;20
34;inc_w;18
34;osc;17
35;osc_b;35
35;osc_w;26
35;dec;33
35;dec_b;33
35;dec_w;33
35;con;32
35;con_b;33
