id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;2;1;1
4;0.0;1;0;0;2
5;0.0;1;0;0;3
6;0.0;1;2;1;1
7;0.0;1;1;0;2
8;0.0;1;0;0;3
9;0.0;1;3;0;1
10;0.0;1;1;0;2
11;0.0;1;0;0;3
12;0.0;1;3;0;1
13;0.0;1;2;1;2
14;0.0;1;0;0;3
15;0.0;1;3;0;1
16;0.0;1;2;1;2
17;0.0;1;1;0;3
18;66.2;1;4;2;1
19;0.0;1;2;1;2
20;0.0;1;1;0;3
21;57.73;1;4;2;1
22;0.0;1;3;1;2
23;0.0;1;2;1;3
24;70.03;1;4;2;1
25;46.23;1;3;1;2
26;0.0;1;2;1;3
27;68.63;1;4;2;1
28;67.03;1;3;1;2
29;0.0;1;2;1;3
30;80.39;1;5;3;1
31;40.63;1;3;1;2
32;0.0;1;2;1;3
33;62.16;1;5;3;1
34;41.47;1;4;3;2
35;59.55;1;3;1;3
36;52.88;1;5;3;1
37;40.5;1;4;3;2
38;22.27;1;3;1;3
39;86.31;1;5;3;1
40;82.56;1;4;3;2
41;26.09;1;3;1;3
42;74.19;1;5;3;1
43;87.5;1;4;3;2
44;6.75;1;3;2;3
45;49.81;1;5;3;1
46;75.0;1;4;3;2
47;13.53;1;3;2;3
48;90.73;1;6;5;1
49;50.02;1;4;3;2
50;27.25;1;4;2;3
51;93.58;1;6;5;1
52;86.05;1;5;3;2
53;45.06;1;4;2;3
54;88.72;1;6;5;1
55;72.61;1;5;3;2
56;80.61;1;4;2;3
57;79.0;1;6;5;1
58;46.78;1;5;3;2
59;61.22;1;4;2;3
60;59.56;1;6;5;1
61;7.13;1;5;3;2
62;22.44;1;4;2;3
63;28.69;1;6;5;1
64;15.81;1;5;3;2
65;42.88;1;4;2;3
66;51.39;1;7;5;1
67;32.19;1;5;3;2
68;73.75;1;4;2;3
69;96.3;1;7;5;1
70;64.94;1;5;3;2
71;47.5;1;4;2;3
72;94.16;1;7;5;1
73;97.95;1;5;3;2
74;0.0;1;4;2;3
75;89.88;1;7;5;1
76;95.95;1;6;7;2
77;0.02;1;5;2;3
78;81.31;1;7;5;1
79;93.47;1;6;7;2
80;0.64;1;5;2;3
81;64.19;1;7;5;1
82;88.5;1;6;7;2
83;2.84;1;5;2;3
84;64.94;1;7;5;1
85;78.56;1;6;7;2
86;7.25;1;5;2;3
87;98.44;1;7;5;1
88;58.69;1;6;7;2
89;16.06;1;5;2;3
90;98.44;1;7;5;1
91;49.94;1;6;7;2
92;33.69;1;5;2;3
93;98.44;1;7;5;1
94;98.44;1;6;7;2
95;66.89;1;5;5;3
96;97.94;1;8;9;1
97;98.44;1;6;7;2
98;94.8;1;5;5;3
99;95.89;1;8;9;1
100;97.23;1;7;7;2
101;89.59;1;6;5;3
102;93.05;1;8;9;1
103;94.89;1;7;7;2
104;80.23;1;6;5;3
