id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;1;0;1
4;0.0;1;0;0;2
5;0.0;1;0;0;3
6;0.0;1;1;0;1
7;0.0;1;1;0;2
8;0.0;1;0;0;3
9;0.0;1;2;2;1
10;0.0;1;1;0;2
11;0.0;1;0;0;3
12;0.0;1;3;1;1
13;0.0;1;1;0;2
14;0.0;1;0;0;3
15;0.0;1;3;1;1
16;0.0;1;2;1;2
17;0.0;1;1;0;3
18;52.03;1;3;1;1
19;0.0;1;2;1;2
20;0.0;1;1;0;3
21;69.13;1;4;2;1
22;0.0;1;3;1;2
23;0.0;1;2;1;3
24;38.48;1;4;2;1
25;38.8;1;3;1;2
26;0.0;1;2;1;3
27;67.53;1;4;2;1
28;72.11;1;3;1;2
29;0.0;1;2;1;3
30;67.63;1;4;2;1
31;45.78;1;3;1;2
32;0.0;1;2;1;3
33;78.5;1;5;3;1
34;48.08;1;3;1;2
35;66.86;1;2;1;3
36;58.23;1;5;3;1
37;27.47;1;4;4;2
38;54.72;1;2;1;3
39;49.7;1;5;3;1
40;45.5;1;4;4;2
41;31.05;1;3;1;3
42;85.97;1;5;3;1
43;91.56;1;4;4;2
44;8.66;1;3;1;3
45;73.5;1;5;3;1
46;87.13;1;4;3;2
47;7.27;1;3;2;3
48;48.36;1;5;3;1
49;74.25;1;4;3;2
50;13.55;1;4;2;3
51;80.92;1;6;6;1
52;51.52;1;5;3;2
53;27.02;1;4;2;3
54;83.05;1;6;6;1
55;84.16;1;5;3;2
56;55.59;1;4;2;3
57;88.66;1;6;6;1
58;69.88;1;5;3;2
59;73.02;1;4;2;3
60;78.88;1;6;6;1
61;41.31;1;5;3;2
62;46.03;1;4;2;3
63;59.31;1;6;6;1
64;20.19;1;5;3;2
65;31.06;1;4;2;3
66;33.19;1;6;6;1
67;41.94;1;5;3;2
68;61.14;1;4;2;3
69;54.94;1;7;6;1
70;84.44;1;5;3;2
71;63.28;1;4;2;3
72;97.28;1;7;6;1
73;98.44;1;5;3;2
74;26.56;1;4;2;3
75;96.13;1;7;6;1
76;98.2;1;6;7;2
77;0.14;1;5;2;3
78;93.81;1;7;6;1
79;97.02;1;6;7;2
80;1.73;1;5;2;3
81;89.19;1;7;6;1
82;95.59;1;6;7;2
83;5.03;1;5;2;3
84;79.94;1;7;6;1
85;92.75;1;6;7;2
86;10.63;1;5;2;3
87;61.44;1;7;6;1
88;87.06;1;6;7;2
89;22.81;1;5;2;3
90;98.44;1;7;6;1
91;75.69;1;6;7;2
92;47.19;1;5;2;3
93;98.44;1;7;6;1
94;67.94;1;6;7;2
95;94.42;1;5;5;3
96;98.09;1;7;6;1
97;98.33;1;6;7;2
98;95.86;1;5;5;3
99;97.41;1;7;9;1
100;96.67;1;7;8;2
101;91.72;1;6;5;3
102;94.81;1;8;9;1
103;93.88;1;7;8;2
104;83.44;1;6;5;3
