id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;1;0;1
4;0.0;1;0;0;2
5;0.0;1;0;0;3
6;0.0;1;2;1;1
7;0.0;1;1;0;2
8;0.0;1;0;0;3
9;0.0;1;3;1;1
10;0.0;1;1;0;2
11;0.0;1;0;0;3
12;0.0;1;3;1;1
13;0.0;1;1;0;2
14;0.0;1;0;0;3
15;0.0;1;3;1;1
16;0.0;1;2;2;2
17;0.0;1;0;0;3
18;68.06;1;3;1;1
19;0.0;1;2;1;2
20;0.0;1;1;0;3
21;45.41;1;4;3;1
22;0.0;1;3;1;2
23;0.0;1;1;0;3
24;49.92;1;4;3;1
25;53.03;1;3;1;2
26;0.0;1;2;1;3
27;59.41;1;4;3;1
28;76.63;1;3;1;2
29;0.0;1;2;0;3
30;85.69;1;5;2;1
31;54.81;1;3;1;2
32;0.0;1;2;0;3
33;72.06;1;5;2;1
34;66.5;1;4;3;2
35;0.0;1;2;0;3
36;45.69;1;5;2;1
37;63.47;1;4;3;2
38;65.14;1;3;0;3
39;74.94;1;5;2;1
40;93.5;1;4;3;2
41;55.84;1;3;0;3
42;80.44;1;5;2;1
43;88.56;1;4;3;2
44;36.64;1;3;2;3
45;62.44;1;5;2;1
46;78.17;1;4;3;2
47;14.28;1;3;2;3
48;70.44;1;6;5;1
49;56.34;1;4;3;2
50;24.75;1;4;2;3
51;97.31;1;6;5;1
52;56.69;1;5;3;2
53;50.69;1;4;2;3
54;96.05;1;6;5;1
55;84.42;1;5;3;2
56;73.94;1;4;2;3
57;93.66;1;6;5;1
58;70.41;1;5;3;2
59;48.25;1;4;2;3
60;88.88;1;6;5;1
61;42.38;1;5;3;2
62;35.5;1;4;2;3
63;79.31;1;6;5;1
64;19.31;1;5;3;2
65;71.0;1;4;2;3
66;59.91;1;7;5;1
67;40.19;1;5;3;2
68;66.0;1;4;2;3
69;92.2;1;7;5;1
70;81.94;1;5;3;2
71;56.0;1;4;2;3
72;94.97;1;7;5;1
73;98.44;1;5;3;2
74;12.02;1;4;2;3
75;91.5;1;7;5;1
76;97.59;1;6;7;2
77;0.03;1;4;2;3
78;84.56;1;7;5;1
79;96.22;1;6;7;2
80;0.42;1;5;2;3
81;70.69;1;7;5;1
82;94.0;1;6;7;2
83;2.41;1;5;2;3
84;60.94;1;7;5;1
85;89.56;1;6;7;2
86;6.38;1;5;2;3
87;98.44;1;7;5;1
88;80.69;1;6;7;2
89;14.31;1;5;2;3
90;98.44;1;7;5;1
91;62.94;1;6;7;2
92;29.16;1;5;2;3
93;98.44;1;7;5;1
94;81.44;1;6;7;2
95;58.31;1;5;5;3
96;97.42;1;8;8;1
97;97.63;1;6;7;2
98;93.63;1;5;5;3
99;95.05;1;8;8;1
100;95.25;1;7;7;2
101;87.25;1;6;5;3
102;91.66;1;8;8;1
103;91.69;1;7;7;2
104;74.59;1;6;5;3
