id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;1;0;1
4;0.0;1;0;0;2
5;0.0;1;0;0;3
6;0.0;1;2;1;1
7;0.0;1;1;0;2
8;0.0;1;0;0;3
9;0.0;1;3;1;1
10;0.0;1;1;0;2
11;0.0;1;0;0;3
12;0.0;1;3;1;1
13;0.0;1;1;0;2
14;0.0;1;0;0;3
15;0.0;1;3;1;1
16;0.0;1;2;2;2
17;0.0;1;1;0;3
18;75.41;1;4;2;1
19;0.0;1;2;1;2
20;0.0;1;1;0;3
21;51.59;1;4;2;1
22;0.0;1;3;1;2
23;0.0;1;2;1;3
24;65.2;1;4;2;1
25;73.11;1;3;1;2
26;0.0;1;2;0;3
27;75.97;1;4;2;1
28;60.78;1;3;1;2
29;0.0;1;2;0;3
30;77.5;1;5;3;1
31;40.13;1;3;1;2
32;0.0;1;2;0;3
33;55.7;1;5;3;1
34;45.81;1;4;3;2
35;65.16;1;3;0;3
36;62.97;1;5;3;1
37;43.88;1;4;3;2
38;31.44;1;3;0;3
39;77.5;1;5;3;1
40;89.31;1;4;3;2
41;35.44;1;3;0;3
42;91.56;1;5;3;1
43;93.19;1;4;3;2
44;8.39;1;3;2;3
45;84.69;1;5;3;1
46;87.72;1;4;3;2
47;16.8;1;4;2;3
48;69.86;1;6;6;1
49;75.44;1;4;3;2
50;33.61;1;4;2;3
51;95.52;1;6;6;1
52;50.91;1;5;3;2
53;66.42;1;4;2;3
54;91.83;1;6;6;1
55;86.5;1;5;3;2
56;62.41;1;4;2;3
57;85.22;1;6;6;1
58;74.56;1;5;3;2
59;25.41;1;4;2;3
60;72.0;1;6;6;1
61;50.69;1;5;3;2
62;17.83;1;4;2;3
63;45.56;1;6;6;1
64;16.94;1;5;3;2
65;34.67;1;4;2;3
66;61.69;1;6;6;1
67;35.44;1;5;3;2
68;68.36;1;4;2;3
69;72.77;1;7;5;1
70;70.44;1;5;3;2
71;59.72;1;4;2;3
72;95.44;1;7;5;1
73;98.44;1;5;3;2
74;19.45;1;4;2;3
75;92.44;1;7;5;1
76;98.17;1;6;7;2
77;0.92;1;5;2;3
78;86.44;1;7;5;1
79;96.41;1;6;7;2
80;0.94;1;5;2;3
81;74.44;1;7;5;1
82;94.38;1;6;7;2
83;2.44;1;5;2;3
84;50.44;1;7;5;1
85;90.31;1;6;7;2
86;5.44;1;5;2;3
87;77.44;1;7;5;1
88;82.19;1;6;7;2
89;12.44;1;5;2;3
90;98.44;1;7;5;1
91;65.94;1;6;7;2
92;25.44;1;5;2;3
93;98.44;1;7;5;1
94;50.44;1;6;7;2
95;50.72;1;5;5;3
96;98.44;1;7;5;1
97;98.44;1;6;7;2
98;95.44;1;5;5;3
99;97.45;1;8;9;1
100;97.44;1;6;7;2
101;90.89;1;5;5;3
102;95.16;1;8;9;1
103;95.33;1;7;8;2
104;81.78;1;6;5;3
