id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;1;0;1
4;0.0;1;0;0;2
5;0.0;1;0;0;3
6;0.0;1;1;0;1
7;0.0;1;0;0;2
8;0.0;1;0;0;3
9;0.0;1;1;0;1
10;0.0;1;0;0;2
11;0.0;1;0;0;3
12;0.0;1;1;0;1
13;0.0;1;0;0;2
14;0.0;1;0;0;3
15;0.0;1;1;0;1
16;0.0;1;0;0;2
17;0.0;1;0;0;3
18;93.52;1;2;6;1
19;0.0;1;0;0;2
20;0.0;1;0;0;3
21;95.95;1;2;6;1
22;0.0;1;1;0;2
23;0.0;1;0;0;3
24;93.47;1;2;6;1
25;0.0;1;1;0;2
26;0.0;1;0;0;3
27;88.5;1;2;6;1
28;0.0;1;1;0;2
29;0.0;1;0;0;3
30;78.56;1;2;6;1
31;0.0;1;1;0;2
32;0.0;1;0;0;3
33;58.69;1;2;6;1
34;0.0;1;1;0;2
35;0.0;1;0;0;3
36;77.94;1;3;5;1
37;0.0;1;1;0;2
38;0.0;1;0;0;3
39;97.14;1;3;5;1
40;98.44;1;1;0;2
41;0.0;1;0;0;3
42;95.16;1;3;5;1
43;98.44;1;1;0;2
44;0.0;1;0;0;3
45;91.88;1;3;5;1
46;97.2;1;2;7;2
47;0.0;1;1;0;3
48;85.31;1;3;5;1
49;95.39;1;2;7;2
50;0.0;1;1;0;3
51;72.19;1;3;5;1
52;92.34;1;2;7;2
53;0.0;1;1;0;3
54;45.94;1;3;5;1
55;86.25;1;2;7;2
56;0.0;1;1;0;3
57;76.44;1;3;5;1
58;74.06;1;2;7;2
59;0.0;1;1;0;3
60;98.44;1;3;5;1
61;49.69;1;2;7;2
62;0.0;1;1;0;3
63;98.44;1;3;5;1
64;79.94;1;2;7;2
65;71.11;1;1;0;3
66;98.44;1;3;5;1
67;98.44;1;2;6;2
68;95.95;1;1;0;3
69;98.44;1;3;5;1
70;96.91;1;2;6;2
71;91.91;1;2;6;3
72;98.44;1;3;5;1
73;93.81;1;2;6;2
74;84.69;1;2;6;3
75;98.44;1;3;5;1
76;87.63;1;2;6;2
77;70.94;1;2;6;3
78;98.44;1;3;5;1
79;75.25;1;2;6;2
80;43.44;1;2;6;3
81;98.44;1;3;5;1
82;50.52;1;2;6;2
83;41.44;1;2;6;3
84;98.44;1;3;5;1
85;1.05;1;2;6;2
86;37.27;1;2;6;3
87;98.44;1;3;5;1
88;0.09;1;2;6;2
89;74.53;1;2;5;3
90;98.44;1;3;5;1
91;0.19;1;2;6;2
92;93.06;1;2;5;3
93;98.44;1;3;5;1
94;0.38;1;2;6;2
95;86.13;1;2;5;3
96;98.44;1;3;5;1
97;0.75;1;2;6;2
98;72.25;1;2;5;3
99;98.44;1;3;5;1
100;0.5;1;2;6;2
101;44.52;1;2;5;3
102;98.44;1;3;5;1
103;0.0;1;2;6;2
104;0.05;1;2;5;3
