id;mtotal;vms;clock;lastclocktime;stage
1;0.0;1;0;0;2
2;0.0;1;0;0;3
3;0.0;1;1;0;1
4;0.0;1;0;0;2
5;0.0;1;0;0;3
6;0.0;1;1;0;1
7;0.0;1;0;0;2
8;0.0;1;0;0;3
9;0.0;1;1;0;1
10;0.0;1;0;0;2
11;0.0;1;0;0;3
12;0.0;1;1;0;1
13;0.0;1;0;0;2
14;0.0;1;0;0;3
15;0.0;1;1;0;1
16;0.0;1;0;0;2
17;0.0;1;0;0;3
18;97.81;1;2;6;1
19;0.0;1;0;0;2
20;0.0;1;0;0;3
21;96.27;1;2;6;1
22;0.0;1;1;0;2
23;0.0;1;0;0;3
24;94.09;1;2;6;1
25;0.0;1;1;0;2
26;0.0;1;0;0;3
27;89.75;1;2;6;1
28;0.0;1;1;0;2
29;0.0;1;0;0;3
30;81.06;1;2;6;1
31;0.0;1;1;0;2
32;0.0;1;0;0;3
33;63.69;1;2;6;1
34;0.0;1;1;0;2
35;0.0;1;0;0;3
36;68.94;1;2;5;1
37;0.0;1;1;0;2
38;0.0;1;0;0;3
39;97.3;1;3;5;1
40;78.94;1;1;0;2
41;0.0;1;0;0;3
42;95.3;1;3;5;1
43;97.86;1;1;0;2
44;0.0;1;0;0;3
45;92.16;1;3;5;1
46;96.7;1;2;7;2
47;0.0;1;1;0;3
48;85.88;1;3;5;1
49;93.91;1;2;7;2
50;0.0;1;1;0;3
51;73.31;1;3;5;1
52;89.38;1;2;7;2
53;0.0;1;1;0;3
54;48.19;1;3;5;1
55;80.31;1;2;7;2
56;0.0;1;1;0;3
57;70.94;1;3;5;1
58;62.19;1;2;7;2
59;0.0;1;1;0;3
60;98.44;1;3;5;1
61;62.94;1;2;7;2
62;0.0;1;1;0;3
63;98.44;1;3;5;1
64;64.44;1;2;7;2
65;93.11;1;1;0;3
66;98.44;1;3;5;1
67;97.59;1;2;6;2
68;95.23;1;1;0;3
69;98.44;1;3;5;1
70;95.19;1;2;6;2
71;90.59;1;2;6;3
72;98.44;1;3;5;1
73;90.38;1;2;6;2
74;81.31;1;2;6;3
75;98.44;1;3;5;1
76;80.75;1;2;6;2
77;64.19;1;2;6;3
78;98.44;1;3;5;1
79;61.5;1;2;6;2
80;29.94;1;2;6;3
81;98.44;1;3;5;1
82;23.0;1;2;6;2
83;14.44;1;2;6;3
84;98.44;1;3;5;1
85;0.0;1;2;6;2
86;29.44;1;2;6;3
87;98.44;1;3;5;1
88;0.0;1;2;6;2
89;51.11;1;2;5;3
90;98.44;1;3;5;1
91;0.0;1;2;6;2
92;94.23;1;2;5;3
93;98.44;1;3;5;1
94;0.0;1;2;6;2
95;88.47;1;2;5;3
96;98.44;1;3;5;1
97;0.02;1;2;6;2
98;76.94;1;2;5;3
99;98.44;1;3;5;1
100;0.05;1;2;6;2
101;53.88;1;2;5;3
102;98.44;1;3;5;1
103;0.09;1;2;6;2
104;7.75;1;2;5;3
